object_id,display_template,title,translated_title,object_location,language,creator,translator,article_type,subject,pdf_filename,description,DOI,year,issue,volume,first_page,last_page,season,issn,journal_title,publisher,rights,citation
b5uk-gm43,pdf,Notes For An Emancipation Poem,,https://github.com/nyu-dss/calabash/blob/main/data/vol1no1/pdf/Notes_for_an_Emancipation_poem.pdf,eng,Drisana Deborah Jack,,Poetry,Slavery ; Memory,Notes_for_an_Emancipation_poem.pdf,Poem on the topic of emancipation.,https://doi.org/10.33682/b5uk-gm43,2000-09,1,1,137,139,,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Jack, Drisana Deborah, Notes For An Emancipation Poem,2000"
3ebw-jjhk,pdf,For Sisi,Vor Sisi,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Voor_Sisi_For_Sisi.pdf,"eng, dut",Dorus Vrede,Hilda van Neck Yoder,Poetry,Homesickness,Voor_Sisi_For_Sisi.pdf,Poem.,https://doi.org/10.33682/3ebw-jjhk,2001,2,1,7,7,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Vrede, Dorus, For Sisi,2001"
5jps-dy9t,pdf,Sweet Lianas,Lanes Douches,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Sweet_Lianas.pdf,"eng, fre",Joseph Zobel,Christopher Winks,Poetry,Memory ; Nature,Sweet_Lianas.pdf,Bilingual French and English poem,https://doi.org/10.33682/5jps-dy9t,2001,2,1,13,13,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Zobel, Joseph, Sweet Lianas,2001"
9sn9-syy6,pdf,Next-Door Patient,Pashènt aki banda,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Next-door_Patient.pdf,"eng, unknown",Nydia Ecury,,Poetry,Night,Next-door_Patient.pdf,Bilingual poem about a person who hears a stranger in pain through a wall.,https://doi.org/10.33682/9sn9-syy6,2001,2,1,62,62,Spring-Summer,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ecury, Nydia, Next-Door Patient,2001"
zgc1-npm5,pdf,Redifining the Concept of God: A Review of Yván Silén's La Muerte De Mamá,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302076.pdf,eng,Maria Luisa Ruiz,,Essay,Puerto Rican Literature ; Book Reviews,0302076.pdf,"Review of Iván Silén's novel, La Muerte De Mamá",https://doi.org/10.33682/zgc1-npm5,2005,2,3,76,79,Fall-Winter,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ruiz, Maria Luisa, Redifining the Concept of God: A Review of Yván Silén's La Muerte De Mamá,2005"
bwe6-1v8r,pdf,Six Poems About the Little Island of Mine,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302070.pdf,eng,Jina Ortiz,,Poetry,Poetry ; Emigration and Immigration,0302070.pdf,Six poems relating to immigration and colonization.,https://doi.org/10.33682/bwe6-1v8r,2005,2,3,70,72,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ortiz, Jina, Six Poems About the Little Island of Mine,2005"
w0ke-x7ft,pdf,Seis Poemas de mi Isla Pequeña,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no2/pdf/0302073.pdf,spa,Jina Ortiz,,Poetry,Poetry ; Emigration and Immigration,0302073.pdf,"Six poems relating to immigration and colonization, in Spanish.",https://doi.org/10.33682/w0ke-x7ft,2005,2,3,73,75,Fall-Winter 2005,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Ortiz, Jina, Seis Poemas de mi Isla Pequeña,2005"
309z-gwkv,pdf,Together,,https://github.com/nyu-dss/calabash/tree/main/data/vol1no2/pdf/Together.pdf,eng,Gibi Bacilio,,Poetry,Slavery,Together.pdf,A poem about slavery and violence.,https://doi.org/10.33682/309z-gwkv,2001,2,1,84,86,Spring-Summer 2001,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Bacilio, Gibi, Together,2001"
casa-6009,pdf,City Blackout,,https://github.com/nyu-dss/calabash/tree/main/data/vol3no1/pdf/0301087.pdf,eng,Peggy Garrison,,Poetry,Electric power failures,0301087.pdf,A poem about a blackout in New York CIty.,https://doi.org/10.33682/casa-6009,2004,1,3,87,87,Fall-Spring 2004,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Garrison, Peggy, City Blackout,2004"
pvyg-zcyw,pdf,Toda Isla Es Una Jaula (Every Island Is a Cage),,https://github.com/nyu-dss/calabash/tree/main/data/vol2no2/pdf/0202037.pdf,"spa, eng",Lila Díaz,Rodrigo Rojas,Poetry,Colonization,0202037.pdf,A poem in English and Spanish about colonization.,https://doi.org/10.33682/pvyg-zcyw,2003,2,2,37,37,Summer-Fall 2003,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Under copyright,"Díaz, Lila, Toda Isla Es Una Jaula ,2003"
